2026-01-06 08:33: Experiment log path in: C:\Users\C Baker\Desktop\DDGCRN\experiments\PEMSD3\20260106083338
2026-01-06 08:41: Horizon 01, MAE: 12.2168, RMSE: 20.5053, MAPE: 0.1218
2026-01-06 08:41: Horizon 02, MAE: 12.8500, RMSE: 21.8851, MAPE: 0.1282
2026-01-06 08:41: Horizon 03, MAE: 13.3604, RMSE: 22.9435, MAPE: 0.1333
2026-01-06 08:41: Horizon 04, MAE: 13.8300, RMSE: 23.7444, MAPE: 0.1444
2026-01-06 08:41: Horizon 05, MAE: 14.1843, RMSE: 24.3994, MAPE: 0.1442
2026-01-06 08:41: Horizon 06, MAE: 14.5269, RMSE: 25.0701, MAPE: 0.1456
2026-01-06 08:41: Horizon 07, MAE: 14.8387, RMSE: 25.6856, MAPE: 0.1490
2026-01-06 08:41: Horizon 08, MAE: 15.1297, RMSE: 26.2660, MAPE: 0.1515
2026-01-06 08:41: Horizon 09, MAE: 15.3984, RMSE: 26.7912, MAPE: 0.1517
2026-01-06 08:41: Horizon 10, MAE: 15.6690, RMSE: 27.1973, MAPE: 0.1530
2026-01-06 08:41: Horizon 11, MAE: 15.9460, RMSE: 27.5571, MAPE: 0.1549
2026-01-06 08:41: Horizon 12, MAE: 16.3129, RMSE: 28.0331, MAPE: 0.1610
2026-01-06 08:41: Average Horizon, MAE: 14.5219, RMSE: 25.1095, MAPE: 0.1449
